id,parent_circuit_id,chain_name,original_circuit,original_category,original_circuit_path,opt_1,opt_2,opt_3,qasm_path,initial_num_qubits,initial_depth,initial_two_qubit_gates,initial_total_gates,final_num_qubits,final_depth,final_two_qubit_gates,final_total_gates,opt_chain
73,3,single_3,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,tket,,,,12,19,22,94,0,13,22,22,efficient_su2_12_r2__tket
74,3,single_3,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,tket,,,,12,19,22,94,0,13,22,22,efficient_su2_12_r2__tket
75,3,single_4,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,qiskit_ai,,,,12,19,22,94,0,19,22,94,efficient_su2_12_r2__qiskit_ai
76,3,single_4,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,qiskit_ai,,,,12,19,22,94,0,19,22,94,efficient_su2_12_r2__qiskit_ai
77,3,single_4,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,qiskit_ai,,,,12,19,22,94,0,19,22,94,efficient_su2_12_r2__qiskit_ai
78,3,single_4,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,qiskit_ai,,,,12,19,22,94,0,19,22,94,efficient_su2_12_r2__qiskit_ai
79,3,single_4,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,qiskit_ai,,,,12,19,22,94,0,19,22,94,efficient_su2_12_r2__qiskit_ai
80,3,single_4,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,qiskit_ai,,,,12,19,22,94,0,19,22,94,efficient_su2_12_r2__qiskit_ai
81,3,single_4,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,qiskit_ai,,,,12,19,22,94,0,19,22,94,efficient_su2_12_r2__qiskit_ai
82,3,single_4,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,qiskit_ai,,,,12,19,22,94,0,19,22,94,efficient_su2_12_r2__qiskit_ai
83,3,single_4,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,qiskit_ai,,,,12,19,22,94,0,19,22,94,efficient_su2_12_r2__qiskit_ai
84,3,single_5,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,qiskit_standard,,,,12,19,22,94,0,13,22,22,efficient_su2_12_r2__qiskit_standard
85,3,single_5,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,qiskit_standard,,,,12,19,22,94,0,13,22,22,efficient_su2_12_r2__qiskit_standard
86,3,single_5,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,qiskit_standard,,,,12,19,22,94,0,13,22,22,efficient_su2_12_r2__qiskit_standard
87,3,single_5,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,qiskit_standard,,,,12,19,22,94,0,13,22,22,efficient_su2_12_r2__qiskit_standard
88,3,single_5,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,qiskit_standard,,,,12,19,22,94,0,13,22,22,efficient_su2_12_r2__qiskit_standard
89,3,single_5,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,qiskit_standard,,,,12,19,22,94,0,13,22,22,efficient_su2_12_r2__qiskit_standard
90,3,single_5,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,qiskit_standard,,,,12,19,22,94,0,13,22,22,efficient_su2_12_r2__qiskit_standard
91,3,single_5,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,qiskit_standard,,,,12,19,22,94,0,13,22,22,efficient_su2_12_r2__qiskit_standard
92,3,single_5,efficient_su2_12_r2,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_12_r2.qasm,qiskit_standard,,,,12,19,22,94,0,13,22,22,efficient_su2_12_r2__qiskit_standard
93,4,single_1,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,wisq_rules,,,,16,33,120,184,0,38,48,176,efficient_su2_16__wisq_rules
94,4,single_1,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,wisq_rules,,,,16,33,120,184,0,28,38,166,efficient_su2_16__wisq_rules
95,4,single_2,efficient_su2_16,efficient_su2,benchmarks/ai_transpile/qasm/efficient_su2_16.qasm,wisq_bqskit,,,,16,33,120,184,0,41,50,189,efficient_su2_16__wisq_bqskit
