,parent_circuit_id,parent_circuit,original_circuit_id,original_circuit,original_category,original_circuit_path,chain_name,opt_level,opt_1,opt_2,opt_3,artifact_path,initial_num_qubits,initial_depth,initial_two_qubit_gates,initial_total_gates,final_num_qubits,final_depth,final_two_qubit_gate_count,final_total_gates,runtime,opt_chain
31,11,barenco_tof_5,11,barenco_tof_5,feynman,benchmarks/ai_transpile/qasm/feynman/barenco_tof_5.qasm,qiskit_standard,1,qiskit_standard,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_standard/barenco_tof_5/step_0_qiskit_standard/cheap_1_opt_barenco_tof_5_qiskit_standard_step0_qiskit_standard.qasm,9,38,0,50,9,141,72,178,0.010364707908593118,barenco_tof_5__qiskit_standard
32,11,barenco_tof_5,11,barenco_tof_5,feynman,benchmarks/ai_transpile/qasm/feynman/barenco_tof_5.qasm,tket,1,tket,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/tket/barenco_tof_5/step_0_tket/cheap_1_opt_barenco_tof_5_tket_step0_tket.qasm,9,38,0,50,9,141,72,178,0.7813334169331938,barenco_tof_5__tket
33,12,bigadder,12,bigadder,feynman,benchmarks/ai_transpile/qasm/feynman/bigadder.qasm,qiskit_ai,1,qiskit_ai,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_ai/bigadder/step_0_qiskit_ai/cheap_1_opt_bigadder_qiskit_ai_step0_qiskit_ai.qasm,18,4,0,21,18,191,130,357,0.29469600005540997,bigadder__qiskit_ai
34,12,bigadder,12,bigadder,feynman,benchmarks/ai_transpile/qasm/feynman/bigadder.qasm,qiskit_standard,1,qiskit_standard,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_standard/bigadder/step_0_qiskit_standard/cheap_1_opt_bigadder_qiskit_standard_step0_qiskit_standard.qasm,18,4,0,21,18,179,130,329,0.02066854201257229,bigadder__qiskit_standard
35,12,bigadder,12,bigadder,feynman,benchmarks/ai_transpile/qasm/feynman/bigadder.qasm,tket,1,tket,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/tket/bigadder/step_0_tket/cheap_1_opt_bigadder_tket_step0_tket.qasm,18,4,0,21,18,179,122,340,0.9891565829748288,bigadder__tket
36,13,csla_mux_3,13,csla_mux_3,feynman,benchmarks/ai_transpile/qasm/feynman/csla_mux_3.qasm,qiskit_ai,1,qiskit_ai,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_ai/csla_mux_3/step_0_qiskit_ai/cheap_1_opt_csla_mux_3_qiskit_ai_step0_qiskit_ai.qasm,15,24,20,70,15,112,72,322,0.2394832499558106,csla_mux_3__qiskit_ai
37,13,csla_mux_3,13,csla_mux_3,feynman,benchmarks/ai_transpile/qasm/feynman/csla_mux_3.qasm,qiskit_standard,1,qiskit_standard,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_standard/csla_mux_3/step_0_qiskit_standard/cheap_1_opt_csla_mux_3_qiskit_standard_step0_qiskit_standard.qasm,15,24,20,70,15,76,69,197,0.007803249987773597,csla_mux_3__qiskit_standard
38,13,csla_mux_3,13,csla_mux_3,feynman,benchmarks/ai_transpile/qasm/feynman/csla_mux_3.qasm,tket,1,tket,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/tket/csla_mux_3/step_0_tket/cheap_1_opt_csla_mux_3_tket_step0_tket.qasm,15,24,20,70,15,75,69,183,0.8848867079941556,csla_mux_3__tket
39,14,gf2^4_mult,14,gf2^4_mult,feynman,benchmarks/ai_transpile/qasm/feynman/gf2^4_mult.qasm,qiskit_ai,1,qiskit_ai,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_ai/gf2^4_mult/step_0_qiskit_ai/cheap_1_opt_gf2^4_mult_qiskit_ai_step0_qiskit_ai.qasm,12,31,3,65,12,218,99,445,0.547362457960844,gf2^4_mult__qiskit_ai
40,14,gf2^4_mult,14,gf2^4_mult,feynman,benchmarks/ai_transpile/qasm/feynman/gf2^4_mult.qasm,qiskit_standard,1,qiskit_standard,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_standard/gf2^4_mult/step_0_qiskit_standard/cheap_1_opt_gf2^4_mult_qiskit_standard_step0_qiskit_standard.qasm,12,31,3,65,12,111,99,233,0.008455125032924116,gf2^4_mult__qiskit_standard
41,14,gf2^4_mult,14,gf2^4_mult,feynman,benchmarks/ai_transpile/qasm/feynman/gf2^4_mult.qasm,tket,1,tket,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/tket/gf2^4_mult/step_0_tket/cheap_1_opt_gf2^4_mult_tket_step0_tket.qasm,12,31,3,65,12,113,99,233,1.1071011670865119,gf2^4_mult__tket
42,15,gf2^5_mult,15,gf2^5_mult,feynman,benchmarks/ai_transpile/qasm/feynman/gf2^5_mult.qasm,qiskit_ai,1,qiskit_ai,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_ai/gf2^5_mult/step_0_qiskit_ai/cheap_1_opt_gf2^5_mult_qiskit_ai_step0_qiskit_ai.qasm,15,38,4,97,15,259,154,683,0.4525282920803875,gf2^5_mult__qiskit_ai
43,15,gf2^5_mult,15,gf2^5_mult,feynman,benchmarks/ai_transpile/qasm/feynman/gf2^5_mult.qasm,qiskit_standard,1,qiskit_standard,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_standard/gf2^5_mult/step_0_qiskit_standard/cheap_1_opt_gf2^5_mult_qiskit_standard_step0_qiskit_standard.qasm,15,38,4,97,15,146,154,374,0.010829000035300851,gf2^5_mult__qiskit_standard
44,15,gf2^5_mult,15,gf2^5_mult,feynman,benchmarks/ai_transpile/qasm/feynman/gf2^5_mult.qasm,tket,1,tket,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/tket/gf2^5_mult/step_0_tket/cheap_1_opt_gf2^5_mult_tket_step0_tket.qasm,15,38,4,97,15,142,154,353,1.4099978749873117,gf2^5_mult__tket
45,16,gf2^6_mult,16,gf2^6_mult,feynman,benchmarks/ai_transpile/qasm/feynman/gf2^6_mult.qasm,qiskit_ai,1,qiskit_ai,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_ai/gf2^6_mult/step_0_qiskit_ai/cheap_1_opt_gf2^6_mult_qiskit_ai_step0_qiskit_ai.qasm,18,47,5,135,18,289,221,971,0.7841607079608366,gf2^6_mult__qiskit_ai
46,16,gf2^6_mult,16,gf2^6_mult,feynman,benchmarks/ai_transpile/qasm/feynman/gf2^6_mult.qasm,qiskit_standard,1,qiskit_standard,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_standard/gf2^6_mult/step_0_qiskit_standard/cheap_1_opt_gf2^6_mult_qiskit_standard_step0_qiskit_standard.qasm,18,47,5,135,18,179,221,497,0.014371042023412883,gf2^6_mult__qiskit_standard
47,16,gf2^6_mult,16,gf2^6_mult,feynman,benchmarks/ai_transpile/qasm/feynman/gf2^6_mult.qasm,tket,1,tket,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/tket/gf2^6_mult/step_0_tket/cheap_1_opt_gf2^6_mult_tket_step0_tket.qasm,18,47,5,135,18,183,221,497,1.9014267079764977,gf2^6_mult__tket
48,17,grover_5,17,grover_5,feynman,benchmarks/ai_transpile/qasm/feynman/grover_5.qasm,qiskit_ai,1,qiskit_ai,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_ai/grover_5/step_0_qiskit_ai/cheap_1_opt_grover_5_qiskit_ai_step0_qiskit_ai.qasm,9,160,0,351,9,956,288,1691,1.437225167057477,grover_5__qiskit_ai
49,17,grover_5,17,grover_5,feynman,benchmarks/ai_transpile/qasm/feynman/grover_5.qasm,qiskit_standard,1,qiskit_standard,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_standard/grover_5/step_0_qiskit_standard/cheap_1_opt_grover_5_qiskit_standard_step0_qiskit_standard.qasm,9,160,0,351,9,567,288,757,0.016976334038190544,grover_5__qiskit_standard
50,17,grover_5,17,grover_5,feynman,benchmarks/ai_transpile/qasm/feynman/grover_5.qasm,tket,1,tket,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/tket/grover_5/step_0_tket/cheap_1_opt_grover_5_tket_step0_tket.qasm,9,160,0,351,9,672,288,894,1.6632754589663818,grover_5__tket
51,18,ham15-high,18,ham15-high,feynman,benchmarks/ai_transpile/qasm/feynman/ham15-high.qasm,qiskit_ai,1,qiskit_ai,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_ai/ham15-high/step_0_qiskit_ai/cheap_1_opt_ham15-high_qiskit_ai_step0_qiskit_ai.qasm,20,1022,43,1798,20,5898,2149,10924,28.752024625078775,ham15-high__qiskit_ai
52,18,ham15-high,18,ham15-high,feynman,benchmarks/ai_transpile/qasm/feynman/ham15-high.qasm,qiskit_standard,1,qiskit_standard,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_standard/ham15-high/step_0_qiskit_standard/cheap_1_opt_ham15-high_qiskit_standard_step0_qiskit_standard.qasm,20,1022,43,1798,20,3346,2143,5034,0.07641879201401025,ham15-high__qiskit_standard
53,18,ham15-high,18,ham15-high,feynman,benchmarks/ai_transpile/qasm/feynman/ham15-high.qasm,tket,1,tket,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/tket/ham15-high/step_0_tket/cheap_1_opt_ham15-high_tket_step0_tket.qasm,20,1022,43,1798,20,3367,2120,4989,10.989892625017092,ham15-high__tket
54,19,ham15-low,19,ham15-low,feynman,benchmarks/ai_transpile/qasm/feynman/ham15-low.qasm,qiskit_ai,1,qiskit_ai,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_ai/ham15-low/step_0_qiskit_ai/cheap_1_opt_ham15-low_qiskit_ai_step0_qiskit_ai.qasm,17,129,98,213,17,481,236,811,1.0355007500620559,ham15-low__qiskit_ai
55,19,ham15-low,19,ham15-low,feynman,benchmarks/ai_transpile/qasm/feynman/ham15-low.qasm,qiskit_standard,1,qiskit_standard,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_standard/ham15-low/step_0_qiskit_standard/cheap_1_opt_ham15-low_qiskit_standard_step0_qiskit_standard.qasm,17,129,98,213,17,297,236,465,0.018491750000976026,ham15-low__qiskit_standard
56,19,ham15-low,19,ham15-low,feynman,benchmarks/ai_transpile/qasm/feynman/ham15-low.qasm,tket,1,tket,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/tket/ham15-low/step_0_tket/cheap_1_opt_ham15-low_tket_step0_tket.qasm,17,129,98,213,17,286,225,456,2.3951469999738038,ham15-low__tket
57,20,ham15-med,20,ham15-med,feynman,benchmarks/ai_transpile/qasm/feynman/ham15-med.qasm,qiskit_ai,1,qiskit_ai,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_ai/ham15-med/step_0_qiskit_ai/cheap_1_opt_ham15-med_qiskit_ai_step0_qiskit_ai.qasm,17,255,42,452,17,1439,534,2584,2.922850542003289,ham15-med__qiskit_ai
58,20,ham15-med,20,ham15-med,feynman,benchmarks/ai_transpile/qasm/feynman/ham15-med.qasm,qiskit_standard,1,qiskit_standard,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_standard/ham15-med/step_0_qiskit_standard/cheap_1_opt_ham15-med_qiskit_standard_step0_qiskit_standard.qasm,17,255,42,452,17,820,533,1243,0.023018167004920542,ham15-med__qiskit_standard
59,20,ham15-med,20,ham15-med,feynman,benchmarks/ai_transpile/qasm/feynman/ham15-med.qasm,tket,1,tket,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/tket/ham15-med/step_0_tket/cheap_1_opt_ham15-med_tket_step0_tket.qasm,17,255,42,452,17,797,498,1210,3.0126181669766083,ham15-med__tket
60,21,hwb10,21,hwb10,feynman,benchmarks/ai_transpile/qasm/feynman/hwb10.qasm,qiskit_standard,1,qiskit_standard,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_standard/hwb10/step_0_qiskit_standard/cheap_1_opt_hwb10_qiskit_standard_step0_qiskit_standard.qasm,16,18050,9508,31764,16,42137,34732,74540,1.046440792037174,hwb10__qiskit_standard
61,21,hwb10,21,hwb10,feynman,benchmarks/ai_transpile/qasm/feynman/hwb10.qasm,tket,1,tket,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/tket/hwb10/step_0_tket/cheap_1_opt_hwb10_tket_step0_tket.qasm,16,18050,9508,31764,16,43342,31213,72556,207.36265670903958,hwb10__tket
62,22,hwb11,22,hwb11,feynman,benchmarks/ai_transpile/qasm/feynman/hwb11.qasm,qiskit_standard,1,qiskit_standard,,,brute_force_chains/cheap_optimizers/full_run/one_opt/reports/chains/qiskit_standard/hwb11/step_0_qiskit_standard/cheap_1_opt_hwb11_qiskit_standard_step0_qiskit_standard.qasm,15,52290,25855,87789,15,126020,97416,207162,4.378126583993435,hwb11__qiskit_standard
