id,parent_circuit_id,parent_circuit,original_circuit_id,original_circuit,original_category,original_circuit_path,chain_name,opt_level,opt_1,opt_2,opt_3,qasm_path,initial_num_qubits,initial_depth,initial_two_qubit_gates,initial_total_gates,final_num_qubits,final_depth,final_two_qubit_gates,final_total_gates,total_runtime_seconds,opt_chain
763,53,qaoa_barabasi_albert_N19_3reps,53,qaoa_barabasi_albert_N19_3reps,qaoa,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N19_3reps.qasm,tket,1,tket,,,,19,140,204,401,0,211,204,609,4.988312726840377,qaoa_barabasi_albert_N19_3reps__tket
776,54,qaoa_barabasi_albert_N20_3reps,54,qaoa_barabasi_albert_N20_3reps,qaoa,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N20_3reps.qasm,tket,1,tket,,,,20,149,216,424,0,218,216,645,6.518765838816762,qaoa_barabasi_albert_N20_3reps__tket
789,55,qaoa_barabasi_albert_N3_3reps,55,qaoa_barabasi_albert_N3_3reps,qaoa,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N3_3reps.qasm,tket,1,tket,,,,3,23,12,33,0,60,12,66,1.0479073897004128,qaoa_barabasi_albert_N3_3reps__tket
802,56,qaoa_barabasi_albert_N4_3reps,56,qaoa_barabasi_albert_N4_3reps,qaoa,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N4_3reps.qasm,tket,1,tket,,,,4,41,24,56,0,78,24,102,1.631176397204399,qaoa_barabasi_albert_N4_3reps__tket
815,57,qaoa_barabasi_albert_N5_3reps,57,qaoa_barabasi_albert_N5_3reps,qaoa,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N5_3reps.qasm,tket,1,tket,,,,5,53,36,79,0,82,36,138,1.6217011855915189,qaoa_barabasi_albert_N5_3reps__tket
824,58,qaoa_barabasi_albert_N6_3reps,58,qaoa_barabasi_albert_N6_3reps,qaoa,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N6_3reps.qasm,wisq_rules,1,wisq_rules,,,,6,62,48,102,0,68,39,183,600.0992397479713,qaoa_barabasi_albert_N6_3reps__wisq_rules
828,58,qaoa_barabasi_albert_N6_3reps,58,qaoa_barabasi_albert_N6_3reps,qaoa,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N6_3reps.qasm,tket,1,tket,,,,6,62,48,102,0,97,48,171,2.2237715926021338,qaoa_barabasi_albert_N6_3reps__tket
841,59,qaoa_barabasi_albert_N7_3reps,59,qaoa_barabasi_albert_N7_3reps,qaoa,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N7_3reps.qasm,tket,1,tket,,,,7,65,60,125,0,94,60,210,3.031274256296456,qaoa_barabasi_albert_N7_3reps__tket
854,60,qaoa_barabasi_albert_N8_3reps,60,qaoa_barabasi_albert_N8_3reps,qaoa,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N8_3reps.qasm,tket,1,tket,,,,8,68,72,148,0,97,72,243,2.488387550227344,qaoa_barabasi_albert_N8_3reps__tket
867,61,qaoa_barabasi_albert_N9_3reps,61,qaoa_barabasi_albert_N9_3reps,qaoa,benchmarks/ai_transpile/qasm/qaoa/qaoa_barabasi_albert_N9_3reps.qasm,tket,1,tket,,,,9,77,84,171,0,101,84,276,2.477998888120055,qaoa_barabasi_albert_N9_3reps__tket
876,62,qft_10,62,qft_10,qft,benchmarks/ai_transpile/qasm/qft_10.qasm,wisq_rules,1,wisq_rules,,,,10,74,105,250,0,205,103,732,600.2425455581397,qft_10__wisq_rules
877,62,qft_10,62,qft_10,qft,benchmarks/ai_transpile/qasm/qft_10.qasm,wisq_bqskit,1,wisq_bqskit,,,,10,74,105,250,0,275,102,625,301.5619556782767,qft_10__wisq_bqskit
878,62,qft_10,62,qft_10,qft,benchmarks/ai_transpile/qasm/qft_10.qasm,tket,1,tket,,,,10,74,105,250,0,65,90,201,2.2142163440585136,qft_10__tket
881,63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,wisq_rules,1,wisq_rules,,,,12,90,150,360,0,244,148,1069,600.1511738719419,qft_12__wisq_rules
882,63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,wisq_bqskit,1,wisq_bqskit,,,,12,90,150,360,0,331,146,937,301.4668911071494,qft_12__wisq_bqskit
883,63,qft_12,63,qft_12,qft,benchmarks/ai_transpile/qasm/qft_12.qasm,tket,1,tket,,,,12,90,150,360,0,79,132,289,2.690660904161632,qft_12__tket
886,64,qft_16,64,qft_16,qft,benchmarks/ai_transpile/qasm/qft_16.qasm,wisq_rules,1,wisq_rules,,,,16,122,264,640,0,341,264,1964,600.172730691731,qft_16__wisq_rules
887,64,qft_16,64,qft_16,qft,benchmarks/ai_transpile/qasm/qft_16.qasm,wisq_bqskit,1,wisq_bqskit,,,,16,122,264,640,0,381,259,1790,301.54589398019016,qft_16__wisq_bqskit
888,64,qft_16,64,qft_16,qft,benchmarks/ai_transpile/qasm/qft_16.qasm,tket,1,tket,,,,16,122,264,640,0,107,240,513,4.403104943223298,qft_16__tket
894,65,qft_8,65,qft_8,qft,benchmarks/ai_transpile/qasm/qft_8.qasm,tket,1,tket,,,,8,15,28,36,0,51,56,129,1.991882562637329,qft_8__tket
907,66,qft_N002,66,qft_N002,qft,benchmarks/ai_transpile/qasm/qft/qft_N002.qasm,tket,1,tket,,,,2,12,5,12,0,13,2,19,1.291175939142704,qft_N002__tket
920,67,qft_N003,67,qft_N003,qft,benchmarks/ai_transpile/qasm/qft/qft_N003.qasm,tket,1,tket,,,,3,20,9,24,0,16,6,19,1.636013283394277,qft_N003__tket
933,68,qft_N004,68,qft_N004,qft,benchmarks/ai_transpile/qasm/qft/qft_N004.qasm,tket,1,tket,,,,4,28,18,44,0,23,12,33,1.1075473502278328,qft_N004__tket
946,69,qft_N005,69,qft_N005,qft,benchmarks/ai_transpile/qasm/qft/qft_N005.qasm,tket,1,tket,,,,5,36,26,66,0,30,20,51,1.4748212154954672,qft_N005__tket
